candidate_id,resource_id,doi,title,authors,year,venue,language,primary_topic,topics,discovery_source,source_url,publication_status,screening_status,notes
lit-cand-20260729-001,lit-10-1371-journal-pone-0010047,10.1371/journal.pone.0010047,The Walking Behaviour of Pedestrian Social Groups and Its Impact on Crowd Dynamics,Mehdi Moussaïd;Niriaska Perozo;Simon Garnier;Dirk Helbing;Guy Théraulaz,2010,PLoS ONE,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1371/journal.pone.0010047,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-002,lit-10-1177-0361198105193400105,10.1177/0361198105193400105,First-Order Pedestrian Traffic Flow Theory,Winnie Daamen;Serge Hoogendoorn;Piet H. L. Bovy,2005,Transportation Research Record Journal of the Transportation Research Board,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1177/0361198105193400105,version_of_record,unscreened,"Initial collection only; title and canonical DOI verified via Crossref on 2026-08-03; legacy DOI 10.3141/1934-05 redirects to this DOI; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-003,lit-10-1016-j-firesaf-2011-09-005,10.1016/j.firesaf.2011.09.005,Experimental study of pedestrian behaviors in a corridor based on digital image processing,Wei Tian;Weiguo Song;Jian Ma;Zhiming Fang;Armin Seyfried;Jack Liddle,2011,Fire Safety Journal,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1016/j.firesaf.2011.09.005,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-004,lit-10-1016-j-trb-2017-01-008,10.1016/j.trb.2017.01.008,Pedestrian flows through a narrow doorway: Effect of individual behaviours on the global flow and microscopic dynamics,Alexandre Nicolas;Sebastián Bouzat;Marcelo N. Kuperman,2017,Transportation Research Part B Methodological,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1016/j.trb.2017.01.008,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-005,lit-10-1016-j-trpro-2017-05-027,10.1016/j.trpro.2017.05.027,Macroscopic Fundamental Diagram for pedestrian networks: theory and applications,Serge Hoogendoorn;Winnie Daamen;Victor L. Knoop;Jeroen Steenbakkers;Majid Sarvi,2017,Transportation research procedia,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1016/j.trpro.2017.05.027,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-006,lit-10-1016-j-physa-2023-128929,10.1016/j.physa.2023.128929,A comparative experimental study on the influence of bottleneck width on evacuation characteristics of pedestrian flow in funnel shape bottleneck and normal bottleneck,Hongliu Li;Jun Zhang;Weiguo Song,2023,Physica A Statistical Mechanics and its Applications,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1016/j.physa.2023.128929,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-007,lit-10-17815-cd-2022-139,10.17815/cd.2022.139,"Microscopic insights into pedestrian motion through a bottleneck, resolving spatial and temporal variations",Jack Liddle;Armin Seyfried;Bernhard Steffen;Wolfram Klingsch;Tobias Rupprecht;Andreas Winkens;Maik Boltes,2022,Collective Dynamics,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.17815/cd.2022.139,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-008,lit-10-1371-journal-pone-0117856,10.1371/journal.pone.0117856,Generating Pedestrian Trajectories Consistent with the Fundamental Diagram Based on Physiological and Psychological Factors,Sahil Narang;Andrew Best;Sean Curtis;Dinesh Manocha,2015,PLoS ONE,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1371/journal.pone.0117856,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-009,lit-10-1073-pnas-2107827118,10.1073/pnas.2107827118,Pedestrian dynamics at the running of the bulls evidence an inaccessible region in the fundamental diagram,Daniel R. Parisi;Alan G. Sartorio;Joaquín R. Colonnello;Ángel Garcimartín;Luis A. Pugnaloni;Iker Zuriguel,2021,Proceedings of the National Academy of Sciences,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1073/pnas.2107827118,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-010,lit-10-1088-1742-5468-aaac57,10.1088/1742-5468/aaac57,Step styles of pedestrians at different densities,Jiayue Wang;Wenguo Weng;Maik Boltes;Jun Zhang;Antoine Tordeux;Verena Ziemer,2018,Journal of Statistical Mechanics Theory and Experiment,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1088/1742-5468/aaac57,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-011,lit-10-17815-cd-2018-17,10.17815/cd.2018.17,Pedestrian flow characteristics and level of service on dissimilar facilities: A critical review,Arunabha Banerjee;Akhilesh Kumar Maurya;Gregor Lämmel,2018,Collective Dynamics,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.17815/cd.2018.17,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-012,lit-10-1016-j-trc-2023-104468,10.1016/j.trc.2023.104468,High-statistics pedestrian dynamics on stairways and their probabilistic fundamental diagrams,Caspar A. S. Pouw;Alessandro Corbetta;Alessandro Gabbana;Chiel van der Laan;Federico Toschi,2024,Transportation Research Part C Emerging Technologies,en,flow_fundamentals,flow_fundamentals,openalex,https://doi.org/10.1016/j.trc.2023.104468,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-013,lit-10-17815-cd-2018-16,10.17815/cd.2018.16,Comparison of Pedestrian Data of Single File Movement Collected from Controlled Pedestrian Experiment and from Field in Mass Religious Gathering,Siddhartha Gulhare;Ashish Verma;Partha Chakroborty,2018,Collective Dynamics,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.17815/cd.2018.16,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-014,lit-10-1016-j-trc-2019-10-013,10.1016/j.trc.2019.10.013,Observational characteristics of pedestrian flows under high-density conditions based on controlled experiments,Cheng‐Jie Jin;Rui Jiang;S.C. Wong;Siqi Xie;Dawei Li;Ning Guo;Wei Wang,2019,Transportation Research Part C Emerging Technologies,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.trc.2019.10.013,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-015,lit-10-1016-j-tbs-2017-03-003,10.1016/j.tbs.2017.03.003,A large-scale controlled experiment on pedestrian walking behavior involving individuals with disabilities,Mohammad Sadra Sharifi;Keith Christensen;Anthony Chen;Daniel Stuart;Yong Seog Kim;YangQuan Chen,2017,Travel Behaviour and Society,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.tbs.2017.03.003,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-016,lit-10-1016-j-physa-2019-03-057,10.1016/j.physa.2019.03.057,Fundamental diagrams for pedestrian traffic flow in controlled experiments,Peng Wang;Shuchao Cao;Ming Yao,2019,Physica A Statistical Mechanics and its Applications,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.physa.2019.03.057,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-017,lit-10-1103-physreve-86-046108,10.1103/physreve.86.046108,Natural discretization of pedestrian movement in continuous space,Michael Seitz;Gerta Köster,2012,Physical Review E,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1103/physreve.86.046108,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-018,lit-10-1016-j-tbs-2024-100754,10.1016/j.tbs.2024.100754,Understanding pedestrian movement with baggage on stairway: Insights from controlled experiments,Dong Shi;Xiaofei Li;Juan Chen;Qiao Wang;Ruggiero Lovreglio;Jian Ma,2024,Travel Behaviour and Society,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.tbs.2024.100754,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-019,lit-10-1016-j-trc-2018-03-027,10.1016/j.trc.2018.03.027,Measurement of congestion and intrinsic risk in pedestrian crowds,Claudio Feliciani;Katsuhiro Nishinari,2018,Transportation Research Part C Emerging Technologies,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.trc.2018.03.027,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-020,lit-10-1109-tsmca-2005-843396,10.1109/tsmca.2005.843396,A Novel System for Tracking Pedestrians Using Multiple Single-Row Laser-Range Scanners,Huijing Zhao;Ryosuke Shibasaki,2005,IEEE Transactions on Systems Man and Cybernetics - Part A Systems and Humans,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1109/tsmca.2005.843396,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-021,lit-10-1016-j-physa-2016-05-051,10.1016/j.physa.2016.05.051,Measuring the steady state of pedestrian flow in bottleneck experiments,Weichen Liao;Antoine Tordeux;Armin Seyfried;Mohcine Chraibi;Kevin Drzycimski;Xiaoping Zheng;Ying Zhao,2016,Physica A Statistical Mechanics and its Applications,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.physa.2016.05.051,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-022,lit-10-1016-j-ssci-2024-106623,10.1016/j.ssci.2024.106623,How do age compositions affect pedestrian dynamics on stairways? Findings from controlled experiments,Dong Shi;Jiahui Liu;Jian Ma;Ruggiero Lovreglio;Qiao Wang;Juan Chen,2024,Safety Science,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.ssci.2024.106623,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-023,lit-10-3934-nhm-2011-6-545,10.3934/nhm.2011.6.545,Empirical results for pedestrian dynamics and their implications for modeling,Andreas Schadschneider;Armin Seyfried,2011,Networks and Heterogeneous Media,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.3934/nhm.2011.6.545,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-024,lit-10-1016-j-trpro-2014-09-005,10.1016/j.trpro.2014.09.005,Experimental Study on Pedestrian Flow through Wide Bottleneck,Weichen Liao;Armin Seyfried;Jun Zhang;Maik Boltes;Xiaoping Zheng;Ying Zhao,2014,Transportation research procedia,en,experiment_measurement,experiment_measurement,openalex,https://doi.org/10.1016/j.trpro.2014.09.005,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-025,lit-10-1155-2019-9717208,10.1155/2019/9717208,The Influence of Wheelchair Users on Movement in a Bottleneck and a Corridor,Paul Geoerg;Jette Schumann;Stefan Höll;Anja Hofmann,2019,Journal of Advanced Transportation,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1155/2019/9717208,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-026,lit-10-1002-fam-2736,10.1002/fam.2736,Engineering egress data considering pedestrians with reduced mobility,Paul Geoerg;Florian Berchtold;S. Gwynne;Karen Boyce;Stefan Höll;Anja Hofmann,2019,Fire and Materials,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1002/fam.2736,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-027,lit-10-1016-j-trc-2023-104041,10.1016/j.trc.2023.104041,A pure number to assess “congestion” in pedestrian crowds,Francesco Zanlungo;Claudio Feliciani;Zeynep Yücel;Xiaolu Jia;Katsuhiro Nishinari;Takayuki Kanda,2023,Transportation Research Part C Emerging Technologies,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1016/j.trc.2023.104041,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-028,lit-10-1155-2020-7483210,10.1155/2020/7483210,Modelling Unidirectional Crowd Motion in a Corridor with Statistical Characteristics of Pedestrian Movements,Tan Chen;Wei Wang;Yu Tu;Xuedong Hua,2020,Mathematical Problems in Engineering,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1155/2020/7483210,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-029,lit-10-1038-s41598-024-61007-4,10.1038/s41598-024-61007-4,Analyzing factors causing deadlock events of bi-directional pedestrian flow when moving on stairs using a personal space model,Mingwei Liu;Guiliang Lu;Yoshinao Oeda,2024,Scientific Reports,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1038/s41598-024-61007-4,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-030,lit-10-1016-j-trb-2016-10-017,10.1016/j.trb.2016.10.017,A dynamic network loading model for anisotropic and congested pedestrian flows,Flurin Hänseler;William H. K. Lam;Michel Bierlaire;Gael Lederrey;Marija Nikolić,2016,Transportation Research Part B Methodological,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1016/j.trb.2016.10.017,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-031,lit-10-3390-su15118626,10.3390/su15118626,Simulation of Single-File Pedestrian Flow under High-Density Condition by a Modified Social Force Model,Cheng‐Jie Jin;Ke-Da Shi;Shu-Yi Fang,2023,Sustainability,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.3390/su15118626,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-032,lit-10-1155-2020-7649094,10.1155/2020/7649094,Tangential Change Behavior and Pedestrian Simulation of Multichannel Evacuation Crowd,Lianghai Jin;Mei Qi Fang;Shu Chen;Wenfan Lei;Yun Chen,2020,Mathematical Problems in Engineering,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1155/2020/7649094,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
lit-cand-20260729-033,lit-10-1007-s13753-024-00608-z,10.1007/s13753-024-00608-z,Bidirectional Evacuation in Subway Fires Considering the Number of Retrograders and Proactive Avoidance Behavior Based on Experiments and Simulations,Qing Deng;Zheng Zhou;Shirong Zhang;Li Deng;Ye Xu;Jialing Zhu;Huiling Jiang;Yu Feng,2024,International Journal of Disaster Risk Science,en,facility_scenario_flow,facility_scenario_flow,openalex,https://doi.org/10.1007/s13753-024-00608-z,version_of_record,unscreened,"Initial collection only; metadata not independently verified; no title, abstract, quality, integrity, metrics, access, or full-text screening performed."
