search_id,searched_at,database,topic,query,date_start,date_end,result_count,operator,notes
search-20260729-001,2026-07-29T17:42:37.4916192+08:00,parallel_web_academic,flow_fundamentals,pedestrian flow fundamental diagram speed density bottleneck,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/01-flow-fundamentals-academic.json; provider_search_id=search_8c1609827c3adddf307192614efba230
search-20260729-002,2026-07-29T17:42:37.4916192+08:00,parallel_web_general,flow_fundamentals,pedestrian flow fundamental diagram speed density bottleneck,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/01-flow-fundamentals-general.json; provider_search_id=search_158adf98c7f7eacbc5c98bc361abfc5d
search-20260729-003,2026-07-29T17:42:37.4916192+08:00,parallel_web_academic,experiment_measurement,controlled pedestrian experiment trajectory measurement,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/02-experiment-measurement-academic.json; provider_search_id=search_61fb362b7d861ed2281275f8cd888895
search-20260729-004,2026-07-29T17:42:37.4916192+08:00,parallel_web_general,experiment_measurement,controlled pedestrian experiment trajectory measurement,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/02-experiment-measurement-general.json; provider_search_id=search_08e1e6dd0a39e65eaf0fd7002bcfd65b
search-20260729-005,2026-07-29T17:42:37.4916192+08:00,parallel_web_academic,facility_scenario_flow,pedestrian counterflow crossing flow stairs corridor bottleneck,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/03-facility-scenario-flow-academic.json; provider_search_id=search_32f9304b100f31e52538f4408399ce0c
search-20260729-006,2026-07-29T17:42:37.4916192+08:00,parallel_web_general,facility_scenario_flow,pedestrian counterflow crossing flow stairs corridor bottleneck,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/03-facility-scenario-flow-general.json; provider_search_id=search_0ccab75779da87148731f1150888735b
search-20260729-007,2026-07-29T17:42:37.4916192+08:00,parallel_web_academic,evacuation_behavior_modeling,pedestrian evacuation behavior route choice model emergency,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/04-evacuation-behavior-modeling-academic.json; provider_search_id=search_870bc07a6ffdc2378a51da42e32631d5
search-20260729-008,2026-07-29T17:42:37.4916192+08:00,parallel_web_general,evacuation_behavior_modeling,pedestrian evacuation behavior route choice model emergency,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/04-evacuation-behavior-modeling-general.json; provider_search_id=search_da23528aed8961478011b592e09754bd
search-20260729-009,2026-07-29T17:42:37.4916192+08:00,parallel_web_academic,safety_risk_intervention,crowd safety risk crush stampede early warning intervention,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/05-safety-risk-intervention-academic.json; provider_search_id=search_8bc23c515ba89ae6b8e739b3d29a7389
search-20260729-010,2026-07-29T17:42:37.4916192+08:00,parallel_web_general,safety_risk_intervention,crowd safety risk crush stampede early warning intervention,,2026-07-29,10,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/05-safety-risk-intervention-general.json; provider_search_id=search_75efdd503e9f577ce6f09a929ca16b71
search-20260729-011,2026-07-29T17:42:37.4916192+08:00,openalex,flow_fundamentals,pedestrian flow fundamental diagram speed density bottleneck,,2026-07-29,30,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/01-flow-fundamentals-openalex.json
search-20260729-012,2026-07-29T17:42:37.4916192+08:00,openalex,experiment_measurement,controlled pedestrian experiment trajectory measurement,,2026-07-29,30,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/02-experiment-measurement-openalex-targeted.json
search-20260729-013,2026-07-29T17:42:37.4916192+08:00,openalex,facility_scenario_flow,pedestrian counterflow crossing flow stairs corridor bottleneck,,2026-07-29,18,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/03-facility-scenario-flow-openalex.json
search-20260729-014,2026-07-29T17:42:37.4916192+08:00,openalex,evacuation_behavior_modeling,pedestrian evacuation behavior route choice model emergency,,2026-07-29,30,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/04-evacuation-behavior-modeling-openalex.json
search-20260729-015,2026-07-29T17:42:37.4916192+08:00,openalex,safety_risk_intervention,crowd safety risk crush stampede early warning intervention,,2026-07-29,30,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/05-safety-risk-intervention-openalex.json
search-20260729-016,2026-07-29T17:42:37.4916192+08:00,crossref,flow_fundamentals,pedestrian flow fundamental diagram speed density bottleneck,,2026-07-29,25,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/01-flow-fundamentals-crossref.json
search-20260729-017,2026-07-29T17:42:37.4916192+08:00,crossref,experiment_measurement,controlled pedestrian experiment trajectory measurement,,2026-07-29,25,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/02-experiment-measurement-crossref.json
search-20260729-018,2026-07-29T17:42:37.4916192+08:00,crossref,facility_scenario_flow,pedestrian counterflow crossing flow stairs corridor bottleneck,,2026-07-29,25,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/03-facility-scenario-flow-crossref.json
search-20260729-019,2026-07-29T17:42:37.4916192+08:00,crossref,evacuation_behavior_modeling,pedestrian evacuation behavior route choice model emergency,,2026-07-29,25,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/04-evacuation-behavior-modeling-crossref.json
search-20260729-020,2026-07-29T17:42:37.4916192+08:00,crossref,safety_risk_intervention,crowd safety risk crush stampede early warning intervention,,2026-07-29,25,codex,Initial discovery only; raw response: backend/storage/library/reports/literature-search/2026-07-29/05-safety-risk-intervention-crossref.json
search-20260729-021,2026-07-29T17:42:37.4916192+08:00,semantic_scholar,flow_fundamentals,pedestrian flow fundamental diagram speed density bottleneck,,2026-07-29,0,codex,Search attempted but public API returned HTTP 429; no results recorded and no candidate metadata inferred.
search-20260729-022,2026-07-29T17:42:37.4916192+08:00,semantic_scholar,experiment_measurement,controlled pedestrian experiment trajectory measurement,,2026-07-29,0,codex,Search attempted but public API returned HTTP 429; no results recorded and no candidate metadata inferred.
search-20260729-023,2026-07-29T17:42:37.4916192+08:00,semantic_scholar,facility_scenario_flow,pedestrian counterflow crossing flow stairs corridor bottleneck,,2026-07-29,0,codex,Search attempted but public API returned HTTP 429; no results recorded and no candidate metadata inferred.
search-20260729-024,2026-07-29T17:42:37.4916192+08:00,semantic_scholar,evacuation_behavior_modeling,pedestrian evacuation behavior route choice model emergency,,2026-07-29,0,codex,Search attempted but public API returned HTTP 429; no results recorded and no candidate metadata inferred.
search-20260729-025,2026-07-29T17:42:37.4916192+08:00,semantic_scholar,safety_risk_intervention,crowd safety risk crush stampede early warning intervention,,2026-07-29,0,codex,Search attempted but public API returned HTTP 429; no results recorded and no candidate metadata inferred.
